/home/chris/miniconda3/envs/marlo/bin/python /home/chris/Desktop/lunar-lander/train_agent1.py --verbose --overwrite
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gymnasium/core.py:27: UserWarning: WARN: Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gym/core.py:27: UserWarning: WARN: Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
dimension of state space = 15
number of actions = 7
| episode | return          | minimal return      | mean return        |
|         | (this episode)  | (last 20 episodes)  | (last 20 episodes) |
|-----------------------------------------------------------------------

|     282 |     -205.000    |       -212.700      |      -128.820      |



|     283 |     -202.100    |       -212.700      |      -139.095      |

|     284 |     -212.600    |       -212.700      |      -142.235      |

|     285 |     -173.800    |       -212.600      |      -140.290      |

|     286 |     -213.800    |       -213.800      |      -140.510      |

|     287 |     -216.500    |       -216.500      |      -141.085      |

|     288 |     -112.600    |       -216.500      |      -138.165      |

|     289 |     -144.000    |       -216.500      |      -136.425      |

|     290 |     -214.300    |       -216.500      |      -149.650      |

|     291 |     -210.800    |       -216.500      |      -160.700      |

|     292 |     -209.100    |       -216.500      |      -160.845      |

|     293 |      -12.100    |       -216.500      |      -165.140      |

|     294 |     -167.500    |       -216.500      |      -169.125      |

|     295 |     -203.000    |       -216.500      |      -171.700      |

|     296 |     -168.500    |       -216.500      |      -173.030      |

|     297 |     -214.800    |       -216.500      |      -174.730      |

|     298 |     -206.500    |       -216.500      |      -175.195      |

|     299 |     -125.100    |       -216.500      |      -172.510      |

|     300 |     -151.100    |       -216.500      |      -175.455      |


|     301 |     -198.400    |       -216.500      |      -178.080      |

|     302 |      -28.500    |       -216.500      |      -169.255      |

|     303 |       -3.200    |       -216.500      |      -159.310      |

|     304 |     -195.600    |       -216.500      |      -158.460      |

|     305 |     -178.100    |       -216.500      |      -158.675      |

|     306 |     -213.300    |       -216.500      |      -158.650      |

|     307 |     -216.600    |       -216.600      |      -158.655      |

|     308 |     -205.000    |       -216.600      |      -163.275      |


|     309 |     -195.000    |       -216.600      |      -165.825      |

|     310 |     -197.100    |       -216.600      |      -164.965      |

|     311 |     -207.000    |       -216.600      |      -164.775      |

|     312 |     -212.100    |       -216.600      |      -164.925      |

|     313 |     -150.800    |       -216.600      |      -171.860      |

|     314 |     -214.100    |       -216.600      |      -174.190      |

|     315 |     -209.500    |       -216.600      |      -174.515      |

